file,edge_y_norm,edge_x_norm,band,rim_source,green_cx,green_cy
04ff1ac2b65d80741634aca7decba81a.jpg,0.220,0.657,far,top,0.001,0.507
056003914babeb4647e2e8053459b267.jpg,0.232,0.694,far,top,0.001,0.511
1aad1c68f406da5b26ebf9953ff16f7d.jpg,0.310,0.873,far,top,,
1e157cd6471363ab6236ea50ae2edfb5.jpg,,,unknown,none,,
1f74cd2cc28762a6238d65e43d8542a9.jpg,0.301,0.832,far,top,0.001,0.508
27ccf1da2b1385a4a59d3998853f625b.jpg,0.383,0.753,mid,top,0.001,0.641
2a27fabec52f2dc12427b804168b5bda.jpg,0.224,0.652,far,top,0.001,0.505
3279d14df30c87d0ed3b86ed1eda2426.jpg,0.409,0.443,mid,top,0.000,0.672
35dc2724684092b67c4e594c673edaca.jpg,0.407,0.512,mid,top,0.001,0.674
36dfc9c3b0635ff8de15eb9d96f622cc.jpg,,,unknown,none,,
3a2f5c92fd419b31cc13d88685265e53.jpg,,,unknown,none,,
3ab9e9030d4c427c570017013e44bfdb.jpg,0.219,0.683,far,top,0.001,0.505
45e10ff0e97ed99f95b0a4b44a7d9a36.jpg,0.301,0.832,far,top,0.001,0.508
4661e211562dc18fe69c38337e8d2628.jpg,,,unknown,none,,
5819435b10ae3924d8f4d2b11d18180d.jpg,0.394,0.625,mid,top,0.001,0.655
5d4ac7ed0789cdfc7c6fac69cb36fad5.jpg,0.235,0.772,far,top,0.001,0.520
6bd7161b2d53512b6e2b2eb667ab9b29.jpg,,,unknown,none,,
7391ed99bea31ad0703ed171bad29988.jpg,,,unknown,none,,
756c0764ee804d21bd1e69ff4f9935fe.jpg,,,unknown,none,,
7e7762aa09f534aa88a331c1af659330.jpg,0.385,0.813,mid,top,0.001,0.628
7febefa6efded7bd671c0c1331158903.jpg,0.399,0.565,mid,top,0.001,0.666
8a2dd67df4efaf59674b4dc35a1bdf11.jpg,0.386,0.864,mid,top,,
aa98ef18ffd668a6596a8d24e3247ddd.jpg,,,unknown,none,,
aea96c922448c3eaed0339ddfb925db1.jpg,0.232,0.694,far,top,0.001,0.511
ba1032fdf2943204703ef327080cdc7d.jpg,,,unknown,none,,
cb7f8fb6f4328e3a36e0ae84a6bd2bc7.jpg,0.286,0.813,far,top,0.001,0.522
ede60950823418e6cb4c347daf4474dd.jpg,,,unknown,none,,
f0a039bbbab30800dda6f100e86b81f4.jpg,0.389,0.684,mid,top,0.001,0.648
